GeneID	nReads	ftype
ASTE1	336	exon
ASTN1	296	exon
ASTN2	357	exon
ASXL1	111	exon
ASXL2	255	exon
ASXL3	461	exon
ASZ1	8	exon
ATAD1	844	exon
ATAD2	109	exon
ATAD2B	797	exon
ATAD5	318	exon
ATAT1	237	exon
ATCAY	877	exon
ATE1	655	exon
ATF1	17	exon
ATF2	1221	exon
ATF3	1080	exon
ATF4	1754	exon
ATF5	496	exon
ATF6	1172	exon
ATF6B	112	exon
ATF7IP2	46	exon
ATG10	438	exon
ATG101	490	exon
ATG12	405	exon
ATG13	1739	exon
ATG14	287	exon
ATG16L1	406	exon
ATG16L2	18	exon
ATG2A	267	exon
ATG2B	1005	exon
ATG3	543	exon
ATG4A	460	exon
ATG4B	302	exon
ATG4C	427	exon
ATG4D	429	exon
ATG5	539	exon
ATG7	526	exon
ATG9A	412	exon
ATIC	1815	exon
ATL1	1007	exon
ATL2	523	exon
ATL3	306	exon
ATM	227	exon
ATMIN	776	exon
ATN1	1663	exon
ATOH8	140	exon
ATOX1	1102	exon
ATP10A	17	exon
ATP10D	63	exon
ATP11A	559	exon
ATP11B	812	exon
ATP11C	486	exon
ATP12A	8	exon
ATP13A1	223	exon
ATP13A2	27	exon
ATP13A3	151	exon
ATP1A1	431	exon
ATP1A3	24112	exon
ATP1B1	7364	exon
ATP1B2	21396	exon
ATP1B3	1145	exon
ATP1B4	34	exon
ATP23	397	exon
ATP2A2	6205	exon
ATP2A3	1416	exon
ATP2B1	1539	exon
ATP2B2	7064	exon
ATP2B3	4163	exon
ATP2B4	8815	exon
ATP2C1	539	exon
ATP2C2	17	exon
ATP4A	407	exon
ATP4B	58	exon
ATP5F1A	4620	exon
ATP5F1B	9447	exon
ATP5F1C	3203	exon
ATP5F1D	3809	exon
ATP5F1E	6684	exon
ATP5IF1	2110	exon
ATP5MC1	2145	exon
ATP5MC2	5324	exon
ATP5MC3	15757	exon
ATP5ME	11089	exon
ATP5MF	12733	exon
ATP5MG	10862	exon
ATP5MK	3132	exon
ATP5PB	3401	exon
ATP5PD	6156	exon
ATP5PF	6678	exon
ATP5PO	10342	exon
ATP6AP1	4189	exon
ATP6AP1L	326	exon
ATP6AP2	4374	exon
ATP6V0A1	6425	exon
ATP6V0A2	609	exon
ATP6V0A4	1	exon
ATP6V0B	2353	exon
ATP6V0C	12433	exon
ATP6V0D1	1902	exon
ATP6V0D2	34	exon
ATP6V0E1	625	exon
ATP6V1A	6251	exon
ATP6V1B1	6	exon
ATP6V1B2	5281	exon
ATP6V1C1	3129	exon
ATP6V1C2	300	exon
ATP6V1D	4588	exon
ATP6V1E1	8812	exon
ATP6V1F	386	exon
ATP6V1G1	1734	exon
ATP6V1G2	426	exon
ATP6V1G3	10	exon
ATP6V1H	4248	exon
ATP7A	124	exon
ATP8A1	12281	exon
ATP8A2	3232	exon
ATP8B2	437	exon
ATP9A	2698	exon
ATP9B	844	exon
ATPAF1	2164	exon
ATPAF2	280	exon
ATPSCKMT	219	exon
ATR	152	exon
ATRAID	489	exon
ATRN	413	exon
ATRNL1	1127	exon
ATRX	6587	exon
ATXN1	1299	exon
ATXN10	325	exon
ATXN1L	408	exon
ATXN2	619	exon
ATXN2L	258	exon
ATXN3	584	exon
ATXN7	910	exon
ATXN7L1	202	exon
ATXN7L2	81	exon
ATXN7L3	4440	exon
AUH	187	exon
AUP1	139	exon
AURKA	33	exon
AURKAIP1	360	exon
AURKB	11	exon
AUTS2	186	exon
AVEN	865	exon
AVL9	190	exon
AVPI1	782	exon
AVPR1A	15	exon
AVPR2	5	exon
AXDND1	28	exon
AXIN1	153	exon
AXIN2	224	exon
AXL	6	exon
AZI2	279	exon
AZIN1	1252	exon
AZIN2	32	exon
B2M	1085	exon
B3GALNT2	123	exon
B3GALT1	168	exon
B3GALT2	99	exon
B3GALT6	351	exon
B3GALT9	83	exon
B3GAT1	570	exon
B3GAT2	562	exon
B3GAT3	223	exon
B3GLCT	212	exon
B3GNT2	761	exon
B3GNT3	2	exon
B3GNT5	92	exon
B3GNT7	33	exon
B3GNT8	62	exon
B3GNTL1	657	exon
B4GALNT1	723	exon
B4GALNT2	22	exon
B4GALNT4	150	exon
B4GALT1	148	exon
B4GALT2	447	exon
B4GALT3	7	exon
B4GALT4	58	exon
B4GALT5	895	exon
B4GALT6	1482	exon
B4GAT1	112	exon
B9D1	250	exon
B9D2	32	exon
BAALC	1051	exon
BABAM1	265	exon
BABAM2	466	exon
BACE1	888	exon
BACE2	132	exon
BACH1	620	exon
BACH2	747	exon
BAD	143	exon
BAG1	701	exon
BAG2	557	exon
BAG3	2976	exon
BAG4	504	exon
BAG5	1855	exon
BAG6	636	exon
BAHCC1	193	exon
BAHD1	302	exon
BAIAP2	1904	exon
BAIAP2L1	35	exon
BAK1	506	exon
BAMBI	154	exon
BANF1	741	exon
BAP1	369	exon
BARD1	8	exon
BARX2	2	exon
BASP1	5799	exon
BATF	10	exon
BAZ1A	503	exon
BAZ1B	654	exon
BAZ2A	1043	exon
BAZ2B	1390	exon
BBLN	48	exon
BBOF1	270	exon
BBOX1	26	exon
BBS1	90	exon
BBS10	114	exon
BBS12	98	exon
BBS2	58	exon
BBS4	246	exon
BBS5	466	exon
BBS7	296	exon
BBS9	852	exon
BBX	1005	exon
BCAM	16	exon
BCAN	68	exon
BCAP31	2839	exon
BCAR1	421	exon
BCAR3	246	exon
BCAS1	2405	exon
BCAS2	785	exon
BCAS3	313	exon
BCAS4	718	exon
BCAT1	40	exon
BCAT2	600	exon
BCDIN3D	96	exon
BCHE	141	exon
BCKDHA	16	exon
BCKDHB	1502	exon
BCKDK	440	exon
BCL10	104	exon
BCL11A	341	exon
BCL11B	391	exon
BCL2	1589	exon
BCL2A1	31	exon
BCL2L1	12	exon
BCL2L10	2501	exon
BCL2L11	38	exon
BCL2L12	10	exon
BCL2L13	136	exon
BCL2L14	2	exon
BCL2L15	74	exon
BCL3	8	exon
BCL6	1311	exon
BCL7A	818	exon
BCL7B	512	exon
BCL7C	163	exon
BCL9	204	exon
BCL9L	290	exon
BCLAF1	1955	exon
BCLAF3	418	exon
BCO2	631	exon
BCOR	570	exon
BCORL1	104	exon
BCR	1134	exon
BDH1	503	exon
BDH2	80	exon
BDKRB2	41	exon
BDNF	206	exon
BDP1	2207	exon
BECN1	592	exon
BEGAIN	506	exon
BEND3	236	exon
BEND4	158	exon
BEND5	184	exon
BEND7	115	exon
BEST1	42	exon
BEST2	14	exon
BEST3	3	exon
BET1	152	exon
BET1L	405	exon
BFAR	232	exon
BFSP1	29	exon
BGN	15	exon
BHLHA15	12	exon
BHLHE23	13	exon
BHLHE40	1297	exon
BHLHE41	84	exon
BICC1	80	exon
BICD1	754	exon
BICD2	1364	exon
BICDL1	34	exon
BICRA	78	exon
BICRAL	2385	exon
BID	542	exon
BIN1	1820	exon
BIN2	91	exon
BIN3	411	exon
BIRC5	88	exon
BIRC6	1916	exon
BIRC7	2	exon
BIVM	282	exon
BLM	344	exon
BLNK	145	exon
BLOC1S1	1585	exon
BLOC1S2	1473	exon
BLOC1S3	113	exon
BLOC1S5	635	exon
BLOC1S6	494	exon
BLVRA	651	exon
BLVRB	35	exon
BLZF1	94	exon
BMERB1	1325	exon
BMF	28	exon
BMI1	353	exon
BMP1	215	exon
BMP15	26	exon
BMP2	23	exon
BMP2K	588	exon
BMP3	26	exon
BMP6	2	exon
BMP7	167	exon
